Area Code;Area;Item Code;Item;Element Code;Element;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
251;Zambia;6815;Transport;7273;CO2 emissions;kilotonnes;88,782;111,1565;106,2605;75,6475;92,796;91,6535;71,481;82,921;79,621;76,651;83,4575;87,6935;91,9295;98,186;105,338;113,0245;115,404;51,63635;55,5115;65,59285;72,89535;81,42135;102,528;109,80335;125,078;147,078;140,9585;126,5025;122,10242;112,902823
251;Zambia;6815;Transport;7225;CH4 emissions;kilotonnes;0,017325;0,022193;0,020515;0,014768;0,018178;0,019196;0,013502;0,017572;0,016142;0,014712;0,015428;0,016116;0,016912;0,018068;0,019332;0,020818;0,022;0,013282;0,01408;0,016638;0,01771;0,019828;0,025822;0,028352;0,033522;0,040892;0,0385;0,03542;0,03421;0,030872
251;Zambia;6815;Transport;7230;N2O emissions;kilotonnes;0,006249;0,007646;0,007427;0,005293;0,006459;0,006095;0,00502;0,005548;0,005482;0,005394;0,005931;0,006205;0,00649;0,00702;0,007557;0,00812;0,008111;0,003064;0,003353;0,003883;0,004578;0,005039;0,006229;0,006559;0,007274;0,008264;0,008109;0,004719;0,004565;0,005831
181;Zimbabwe;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;270,360239;203,210244;279,611442;246,635863;204,939396;246,402243;241,86275;242,2752;239,884543;359,120946;220,972954;211,277275;193,888158;161,481881;139,626048;152,923035;147,958977;142,992865;117,454988;131,519138;157,056341;266,973974;302,003117;335,861844;303,88637;294,037223;248,774132;256,052314;318,190047;240,709271
181;Zimbabwe;6815;Transport;7273;CO2 emissions;kilotonnes;264,255;200,395;274,195;242,38;201,02;243,385;238,8915;239,2945;236,9075;352,82;217,05;207,615;190,51;158,655;137,103;150,32;145,455;140,59;115,4855;129,3105;154,41;262,415;296,795;330,075;298,765;288,925;244,41;251,6;312,66;236,568197
181;Zimbabwe;6815;Transport;7225;CH4 emissions;kilotonnes;0,041356;0,033348;0,045466;0,036422;0,035881;0,054841;0,053166;0,052404;0,051584;0,06522;0,04313;0,038098;0,034949;0,029093;0,028066;0,024501;0,023703;0,022685;0,018706;0,021082;0,025153;0,043968;0,050708;0,056347;0,048196;0,051333;0,044879;0,04518;0,056105;0,040721
181;Zimbabwe;6815;Transport;7230;N2O emissions;kilotonnes;0,018669;0,0071;0,015636;0,012212;0,010999;0,005591;0,005595;0,005711;0,005784;0,016886;0,010247;0,009795;0,009055;0,007594;0,006556;0,007234;0,006945;0,006671;0,005456;0,006107;0,007329;0,012558;0,014296;0,015883;0,014234;0,013868;0,011727;0,012028;0,01494;0,011324
5000;World;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;298005,386;302593,6756;307398,2369;309583,9774;313944,0099;322024,1442;335225,8019;340179,6593;344863,1697;353013,0807;364752,0616;370453,7597;378542,8709;387265,3885;402293,8311;408896,0709;417737,2352;431302,0843;435260,8294;435261,406;449995,9806;461565,0599;473039,1663;485042,0206;493146,6372;501383,514;511462,9939;520605,6315;521606,6761;530792,9812
5000;World;6815;Transport;7273;CO2 emissions;kilotonnes;291398,7763;295999,9638;300697,3727;302894,1294;307255,8949;315186,1508;328263,1573;333214,5628;337907,4086;346005,0235;357495,5309;363299,3119;371372,3955;380103,7387;395028,9341;401638,3438;410385,7671;423913,6879;428011,4282;428234,1988;442816,1226;454147,4081;465544,2266;477365,3287;485357,9215;493414,3222;503356,4543;512381,2945;513282,4478;522741,1585
5000;World;6815;Transport;7225;CH4 emissions;kilotonnes;69,533737;69,208226;69,224593;68,114336;67,48957;67,052259;67,199415;66,372628;64,956009;63,448021;62,073645;61,089888;60,705891;60,202057;60,015798;59,331942;59,650331;60,002215;61,956687;63,13417;64,84843;67,579489;70,215863;73,341603;75,670459;78,137479;80,455956;82,746467;84,69219;74,131052
